ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1	C08074KEGGOSDD
[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C	C06846KEGGOSDD
ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1	C07568KEGGOSDD
[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO	C07199KEGGOSDD
[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC	C08187KEGGOSDD
NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1	C07666KEGGOSDD
CC(C)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1	C08080KEGGOSDD
O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1	C07443KEGGOSDD
[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C	C14643KEGGOSDD
[H][C@@]12[C@@H](C)C3=C(C(O)=CC=C3)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O	C06973KEGGOSDD
CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1	C07620KEGGOSDD
ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1	C06922KEGGOSDD
NC1=CC=C(C=C1)S(N)(=O)=O	C07458KEGGOSDD
N[C@@H]1CONC1=O	C08057KEGGOSDD
ClCCNC(=O)N(CCCl)N=O	C06873KEGGOSDD
